property_address,property_ward,violation_fire_code,violation_description,number_of_violations
5001 Finch Ave E,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",6
88 Alton Towers Crcl,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),11
88 Alton Towers Crcl,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),11
88 Alton Towers Crcl,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),11
88 Alton Towers Crcl,NA,1.1.2.1./6.6.5.6.,1.1.2.1./6.6.5.6. Records of Test (Hydrant Water Flow),11
88 Alton Towers Crcl,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
88 Alton Towers Crcl,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,11
2190 Weston Rd,5,9.6.2.6,9.6.2.6 Protection of openings in fire separations,4
2190 Weston Rd,5,9.6.3.6,9.6.3.6 Exit signs,4
2460 Keele St,5,1.1.2.1,1.1.2.1 Records to be prepared,5
2460 Keele St,5,2.4.1.1,2.4.1.1 Accumulation of combustible materials,5
2460 Keele St,5,6.4.1.2,6.4.1.2 Testing,5
205 Wynford Dr,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),12
205 Wynford Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,12
205 Wynford Dr,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
205 Wynford Dr,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,12
205 Wynford Dr,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,12
30 Carabob Crt,NA,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),9
30 Carabob Crt,NA,2.2.3.2,2.2.3.2 Maintenance of closures,9
30 Carabob Crt,NA,2.8.3.4,2.8.3.4 Records,9
2020 McNicoll Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
2020 McNicoll Ave,NA,4.3.13.5,4.3.13.5 Placards,6
1883 McNicoll Ave,NA,1.1.2.1,1.1.2.1 Records to be prepared,8
1883 McNicoll Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,8
50 Ordnance St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,3
2020 Don Mills Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,12
2020 Don Mills Rd,NA,2.8.3.2,2.8.3.2 Frequency,12
2020 Don Mills Rd,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,12
410 Dufferin St,9,1.1.2.1,1.1.2.1 Records to be prepared,9
410 Dufferin St,9,2.2.2.1,2.2.2.1 Damaged fire separations,9
410 Dufferin St,9,2.2.3.2,2.2.3.2 Maintenance of closures,9
410 Dufferin St,9,2.8.2.5,2.8.2.5 Posting fire emergency procedures,9
410 Dufferin St,9,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
410 Dufferin St,9,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,9
410 Dufferin St,9,6.7.1.3,6.7.1.3 Inspection and testing,9
410 Dufferin St,9,9.6.2.13,9.6.2.13 Refuse and linen chutes,9
410 Dufferin St,9,9.6.3.6,9.6.3.6 Exit signs,9
1884 Davenport Rd,9,1.1.2.3./2.7.3.3.(3),1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),16
1884 Davenport Rd,9,1.1.2.3./6.2.7.5.,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),16
1884 Davenport Rd,9,1.1.2.3./6.3.2.2.,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),16
1884 Davenport Rd,9,1.1.2.3./6.7.1.1.,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),16
1884 Davenport Rd,9,2.2.3.1,2.2.3.1 Damaged closures,16
1884 Davenport Rd,9,2.2.3.2,2.2.3.2 Maintenance of closures,16
1884 Davenport Rd,9,2.4.1.1,2.4.1.1 Accumulation of combustible materials,16
1884 Davenport Rd,9,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,16
1884 Davenport Rd,9,2.8.2.1,2.8.2.1 Measures in a fire safety plan,16
1884 Davenport Rd,9,6.2.7.1,"6.2.7.1 Inspection, Testing and Maintenance",16
1884 Davenport Rd,9,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,16
1884 Davenport Rd,9,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",16
1884 Davenport Rd,9,6.5.1.5 (1),6.5.1.5 (1) Obstructions,16
1884 Davenport Rd,9,6.5.1.8,6.5.1.8 Records,16
1884 Davenport Rd,9,9.6.2.6,9.6.2.6 Protection of openings in fire separations,16
1884 Davenport Rd,9,9.6.4.2,9.6.4.2 Automatic detection,16
10 Dora Ave,9,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),1
20 Gladstone Ave,9,1.1.2.1,1.1.2.1 Records to be prepared,7
20 Gladstone Ave,9,2.2.3.2,2.2.3.2 Maintenance of closures,7
20 Gladstone Ave,9,6.2.4.3,6.2.4.3 Distance above floor,7
20 Gladstone Ave,9,9.6.2.13,9.6.2.13 Refuse and linen chutes,7
5191 Dundas St W,3,1.1.1.2,"1.1.1.2 Check, inspect and test",1
200 Wellesley St E,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,25
1684 Victoria Park Ave,NA,2.2.1.1,2.2.1.1 Damaged fire separations,8
1684 Victoria Park Ave,NA,2.2.3.3,2.2.3.3 Operation of closures,8
1684 Victoria Park Ave,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,8
65 Forest Manor Rd,NA,2.16.2.1,2.16.2.1 Installation requirements,20
65 Forest Manor Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
65 Forest Manor Rd,NA,6.3.3.3,6.3.3.3 Duty to maintain in operating condition,20
65 Forest Manor Rd,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,20
65 Forest Manor Rd,NA,6.4.2.6. (1),B.6.4.2.6.(1) STANDPIPE IDENTIFICATION,20
65 Forest Manor Rd,NA,6.4.2.7,6.4.2.7 Hose cabinets,20
65 Forest Manor Rd,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,20
20 Zachary Crt,8,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),23
20 Zachary Crt,8,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),23
20 Zachary Crt,8,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),23
20 Zachary Crt,8,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),23
20 Zachary Crt,8,1.1.2.1./6.3.4.8,1.1.2.1./6.3.4.8 Records of Test (Carbon Monoxide Alarms),23
20 Zachary Crt,8,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),23
20 Zachary Crt,8,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),23
20 Zachary Crt,8,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),23
20 Zachary Crt,8,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),23
20 Zachary Crt,8,2.2.3.2,2.2.3.2 Maintenance of closures,23
20 Zachary Crt,8,9.6.5.6,9.6.5.6 Firefighters' elevators,23
30 Esterbrooke Ave,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",10
30 Esterbrooke Ave,NA,1.1.2.3./6.5.5.2.,1.1.2.3./6.5.5.2. Records of Test (Sprinkler Alarm Test),10
30 Esterbrooke Ave,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),10
30 Esterbrooke Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,10
30 Esterbrooke Ave,NA,2.8.3.4,2.8.3.4 Records,10
30 Esterbrooke Ave,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,10
30 Esterbrooke Ave,NA,6.2.4.3,6.2.4.3 Distance above floor,10
110 Parkway Forest Dr,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",24
110 Parkway Forest Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,24
110 Parkway Forest Dr,NA,2.2.3.2,2.2.3.2 Maintenance of closures,24
110 Parkway Forest Dr,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,24
110 Parkway Forest Dr,NA,6.2.1.2,6.2.1.2 Maintenance,24
110 Parkway Forest Dr,NA,6.2.4.3,6.2.4.3 Distance above floor,24
110 Parkway Forest Dr,NA,CH 470 - S.6,CH 470 - S.6,24
30 Godstone Rd,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),13
30 Godstone Rd,NA,2.7.3.2,2.7.3.2 Exit Signs,13
30 Godstone Rd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,13
177 Linus Rd,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,15
668 Roselawn Ave,8,2.2.3.2,2.2.3.2 Maintenance of closures,15
668 Roselawn Ave,8,9.6.2.6,9.6.2.6 Protection of openings in fire separations,15
668 Roselawn Ave,8,9.6.2.6,9.6.2.6 Protection of openings in fire separations,15
835 Roselawn Ave,8,1.1.1.2,"1.1.1.2 Check, inspect and test",7
835 Roselawn Ave,8,1.1.2.1./6.4.3.7.(1),1.1.2.1./6.4.3.7.(1) Records of Test (Standpipe - FD Connections),7
835 Roselawn Ave,8,1.1.2.1./7.2.2.1.,1.1.2.1./7.2.2.1. Records of Test (Elevator),7
835 Roselawn Ave,8,2.16.2.1,2.16.2.1 Installation requirements,7
835 Roselawn Ave,8,2.2.3.2,2.2.3.2 Maintenance of closures,7
835 Roselawn Ave,8,9.6.2.6,9.6.2.6 Protection of openings in fire separations,7
835 Roselawn Ave,8,9.6.3.6,9.6.3.6 Exit signs,7
4005 Bayview Ave,NA,1.1.2.2,1.1.2.2 Retention of records,20
4005 Bayview Ave,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),20
4005 Bayview Ave,NA,2.2.3.2,2.2.3.2 Maintenance of closures,20
4005 Bayview Ave,NA,6.2.1.2,6.2.1.2 Maintenance,20
4005 Bayview Ave,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,20
4005 Bayview Ave,NA,9.6.2.11,9.6.2.11 Refuse storage rooms,20
4005 Bayview Ave,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,20
4005 Bayview Ave,NA,9.6.4.2,9.6.4.2 Automatic detection,20
2757 Kipling Ave,1,2.2.3.2,2.2.3.2 Maintenance of closures,7
2757 Kipling Ave,1,9.6.2.13,9.6.2.13 Refuse and linen chutes,7
2737 Kipling Ave,1,2.2.3.2,2.2.3.2 Maintenance of closures,1
12 Rean Dr,NA,1.1.2.3./7.2.2.1.,1.1.2.3./7.2.2.1. Records of Test (Elevator),17
12 Rean Dr,NA,2.2.2.1,2.2.2.1 Damaged fire separations,17
12 Rean Dr,NA,2.7.3.1,2.7.3.1 Exit signs,17
12 Rean Dr,NA,2.8.3.4,2.8.3.4 Records,17
12 Rean Dr,NA,6.3.2.1,6.3.2.1 Obligation to ensure compliance,17
12 Rean Dr,NA,6.5.1.2,"6.5.1.2 Repair, replacement, alterations, inspection, testing and maintenance",17
12 Rean Dr,NA,9.6.2.15,9.6.2.15 Storage garages,17
12 Rean Dr,NA,9.6.2.6,9.6.2.6 Protection of openings in fire separations,17
12 Rean Dr,NA,CH 470 - S.6,CH 470 - S.6,17
123 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,6
123 Eglinton Ave E,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
99 Davisville Ave,NA,2.16.2.1,2.16.2.1 Installation requirements,9
99 Davisville Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,9
99 Davisville Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",9
99 Davisville Ave,NA,6.5.6.5,6.5.6.5 Spare sprinkler heads,9
111 Davisville Ave,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),17
111 Davisville Ave,NA,2.2.2.1,2.2.2.1 Damaged fire separations,17
111 Davisville Ave,NA,2.7.2.1,2.7.2.1 Door release hardware,17
111 Davisville Ave,NA,2.7.2.1,2.7.2.1 Door release hardware,17
111 Davisville Ave,NA,2.7.3.2,2.7.3.2 Exit Signs,17
111 Davisville Ave,NA,6.5.1.1,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",17
580 Christie St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,6
580 Christie St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
580 Christie St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,6
55 Outlook Ave,5,6.4.1.3,6.4.1.3 Fire department connections,18
212 Eglinton Ave E,NA,2.2.2.1,2.2.2.1 Damaged fire separations,11
212 Eglinton Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
212 Eglinton Ave E,NA,2.2.3.3,2.2.3.3 Operation of closures,11
212 Eglinton Ave E,NA,2.4.1.3,2.4.1.3 Waste receptacles,11
212 Eglinton Ave E,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,11
212 Eglinton Ave E,NA,6.2.4.3,6.2.4.3 Distance above floor,11
212 Eglinton Ave E,NA,CH 470 - S.5,CH 470 - S.5,11
212 Eglinton Ave E,NA,CH 470 - S.7,CH 470 - S.7,11
200 Lotherton Ptwy,8,2.2.3.2,2.2.3.2 Maintenance of closures,9
230 Oak St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",15
230 Oak St,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),15
230 Oak St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,15
230 Oak St,NA,2.2.3.1,2.2.3.1 Damaged closures,15
230 Oak St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,15
230 Oak St,NA,2.2.3.3,2.2.3.3 Operation of closures,15
230 Oak St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,15
230 Oak St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,15
230 Oak St,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,15
230 Oak St,NA,2.7.1.7,2.7.1.7 Maintenance and lighting for exits,15
230 Oak St,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,15
230 Oak St,NA,6.2.1.2,6.2.1.2 Maintenance,15
230 Oak St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,15
230 Oak St,NA,9.6.3.6,9.6.3.6 Exit signs,15
32 Grenville St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",19
32 Grenville St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,19
32 Grenville St,NA,2.2.3.1,2.2.3.1 Damaged closures,19
32 Grenville St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,19
32 Grenville St,NA,2.2.3.3,2.2.3.3 Operation of closures,19
32 Grenville St,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,19
32 Grenville St,NA,2.4.1.3,2.4.1.3 Waste receptacles,19
32 Grenville St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,19
32 Grenville St,NA,CH 470 - S.6,CH 470 - S.6,19
200 Sackville St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",17
200 Sackville St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",17
200 Sackville St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",17
200 Sackville St,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",17
200 Sackville St,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),17
200 Sackville St,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),17
200 Sackville St,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),17
200 Sackville St,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),17
200 Sackville St,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),17
200 Sackville St,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),17
200 Sackville St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,17
200 Sackville St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,17
200 Sackville St,NA,2.2.3.3,2.2.3.3 Operation of closures,17
200 Sackville St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,17
200 Sackville St,NA,6.3.1.2,6.3.1.2 Monitoring,17
419 Markham Rd,NA,2.5.1.2,2.5.1.2 Maintaining access free of obstructions,6
419 Markham Rd,NA,6.4.1.2,6.4.1.2 Testing,6
419 Markham Rd,NA,6.5.2.2,6.5.2.2 Sprinkler control valves and water supplies,6
419 Markham Rd,NA,6.6.1.1,6.6.1.1 Water Supplies for Fire Protection,6
419 Markham Rd,NA,CH 470 - S.6,CH 470 - S.6,6
269 Jarvis St,NA,2.2.2.1,2.2.2.1 Damaged fire separations,19
269 Jarvis St,NA,2.2.3.1,2.2.3.1 Damaged closures,19
269 Jarvis St,NA,2.2.3.2,2.2.3.2 Maintenance of closures,19
269 Jarvis St,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,19
269 Jarvis St,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,19
5229 Dundas St W,3,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),16
5229 Dundas St W,3,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),16
5229 Dundas St W,3,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),16
5229 Dundas St W,3,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),16
5229 Dundas St W,3,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),16
5229 Dundas St W,3,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),16
5233 Dundas St W,3,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),15
5233 Dundas St W,3,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),15
5233 Dundas St W,3,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),15
5233 Dundas St W,3,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),15
5233 Dundas St W,3,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),15
170 Fairview Mall Dr,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",18
900 Queens Plate Dr,1,1.1.2.1,1.1.2.1 Records to be prepared,16
900 Queens Plate Dr,1,1.1.2.2,1.1.2.2 Retention of records,16
900 Queens Plate Dr,1,1.1.2.1,1.1.2.1 Records to be prepared,16
900 Queens Plate Dr,1,1.1.2.2,1.1.2.2 Retention of records,16
170 Bayview Ave,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,5
170 Bayview Ave,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,5
3 Rowntree Rd,1,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),4
3 Rowntree Rd,1,2.2.3.1,2.2.3.1 Damaged closures,4
2405 Finch Ave W,7,2.2.3.2,2.2.3.2 Maintenance of closures,12
2405 Finch Ave W,7,9.6.3.6,9.6.3.6 Exit signs,12
12 York St,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,6
12 York St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,6
20 Edgecliff Golfway,NA,1.1.2.1,1.1.2.1 Records to be prepared,18
20 Edgecliff Golfway,NA,2.2.3.2,2.2.3.2 Maintenance of closures,18
20 Edgecliff Golfway,NA,2.7.2.1,2.7.2.1 Door release hardware,18
20 Edgecliff Golfway,NA,6.5.1.5,6.5.1.5 Obstructions,18
10 Edgecliff Golfway,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",33
10 Edgecliff Golfway,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),33
10 Edgecliff Golfway,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),33
10 Edgecliff Golfway,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),33
10 Edgecliff Golfway,NA,1.1.2.1./6.3.2.4.,1.1.2.1./6.3.2.4. Records of Test (Voice Communication),33
10 Edgecliff Golfway,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),33
10 Edgecliff Golfway,NA,1.1.2.1./6.5.5.3.,1.1.2.1./6.5.5.3. Records of Test (Water Flow Test),33
10 Edgecliff Golfway,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),33
10 Edgecliff Golfway,NA,2.2.3.2,2.2.3.2 Maintenance of closures,33
10 Edgecliff Golfway,NA,2.8.2.1,2.8.2.1 Measures in a fire safety plan,33
1264 York Mills Rd,NA,1.1.1.2,"1.1.1.2 Check, inspect and test",6
1264 York Mills Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,6
2700 Lawrence Ave E,NA,2.2.3.2,2.2.3.2 Maintenance of closures,3
2700 Lawrence Ave E,NA,2.7.3.2,2.7.3.2 Exit Signs,3
2700 Lawrence Ave E,NA,CH 470 - S.7,CH 470 - S.7,3
155 Antibes Dr,6,2.4.1.1,2.4.1.1 Accumulation of combustible materials,10
275 Bleecker St,NA,6.3.1.4,6.3.1.4 Fire Alarm Maintenance,1
154 Vaughan Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),10
154 Vaughan Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),10
154 Vaughan Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),10
154 Vaughan Rd,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),10
154 Vaughan Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),10
154 Vaughan Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),10
154 Vaughan Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),10
154 Vaughan Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,10
154 Vaughan Rd,NA,6.5.1.8,6.5.1.8 Records,10
154 Vaughan Rd,NA,9.6.3.6,9.6.3.6 Exit signs,10
21 Vaughan Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
21 Vaughan Rd,NA,6.4.3.1,6.4.3.1 Standpipe systems,11
21 Vaughan Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,11
109 Vaughan Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),13
109 Vaughan Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,13
109 Vaughan Rd,NA,2.4.1.1,2.4.1.1 Accumulation of combustible materials,13
109 Vaughan Rd,NA,6.2.4.1,6.2.4.1 Where portable extinguishers required,13
109 Vaughan Rd,NA,6.3.4.3,6.3.4.3 Duty to maintain in operating condition,13
109 Vaughan Rd,NA,6.4.3.7,6.4.3.7. Fire Department Connections,13
109 Vaughan Rd,NA,6.5.1.5 (1),6.5.1.5 (1) Obstructions,13
78 Warren Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),9
78 Warren Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),9
78 Warren Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),9
78 Warren Rd,NA,1.1.2.1./6.3.3.8.,1.1.2.1./6.3.3.8. - Records of Test (Smoke Alarms),9
78 Warren Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),9
78 Warren Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),9
78 Warren Rd,NA,2.7.3.2 (1),2.7.3.2 (1) Exit Signs,9
78 Warren Rd,NA,6.5.1.8,6.5.1.8 Records,9
78 Warren Rd,NA,9.6.2.7,9.6.2.7 Storage rooms,9
447 Walmer Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),11
447 Walmer Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),11
447 Walmer Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),11
447 Walmer Rd,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),11
447 Walmer Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),11
447 Walmer Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),11
447 Walmer Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),11
447 Walmer Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
447 Walmer Rd,NA,5.6.2.4,5.6.2.4 Indoor storage of flammable compressed gases,11
447 Walmer Rd,NA,6.5.1.8,6.5.1.8 Records,11
449 Walmer Rd,NA,1.1.2.1./2.7.3.3.(3),1.1.2.1./2.7.3.3.(3) Records of Test (Emergency Lighting),11
449 Walmer Rd,NA,1.1.2.1./6.2.7.5.,1.1.2.1./6.2.7.5. Records of Test (Fire Extinguishers),11
449 Walmer Rd,NA,1.1.2.1./6.3.2.2.,1.1.2.1./6.3.2.2. Records of Test (Fire Alarm),11
449 Walmer Rd,NA,1.1.2.1./6.3.2.6.,1.1.2.1./6.3.2.6. Records of Test (Smoke Alarms),11
449 Walmer Rd,NA,1.1.2.1./6.4.3.3.,1.1.2.1./6.4.3.3. Records of Test (Standpipe - FD Connection),11
449 Walmer Rd,NA,1.1.2.1./6.6.3.5.,1.1.2.1./6.6.3.5. Records of Test (Fire Pump),11
449 Walmer Rd,NA,1.1.2.1./6.7.1.1.,1.1.2.1./6.7.1.1. Records of Test (Emergency Power Systems),11
449 Walmer Rd,NA,2.2.3.2,2.2.3.2 Maintenance of closures,11
449 Walmer Rd,NA,6.4.2.3,6.4.2.3 Hose stations,11
449 Walmer Rd,NA,6.5.1.8,6.5.1.8 Records,11
181 Wynford Dr,NA,1.1.2.1,1.1.2.1 Records to be prepared,24
